,cluster,names,president,x_vals,y_vales
335,5,Speech_335,John Fitzgerald Kennedy,0.3004411379584212,-0.3637124263714402
336,5,Speech_336,John Fitzgerald Kennedy,0.2690954499660648,0.3023317280856682
337,3,Speech_337,John Fitzgerald Kennedy,-0.38118219378478624,0.20795491544660089
338,5,Speech_338,John Fitzgerald Kennedy,0.11133165138196409,-0.13868828454668683
339,1,Speech_339,John Fitzgerald Kennedy,-0.1749546153672178,0.2454158154549429
340,1,Speech_340,John Fitzgerald Kennedy,-0.15503550571752736,0.2728898380816246
341,5,Speech_341,John Fitzgerald Kennedy,0.1115287468853385,0.005599588330218116
342,3,Speech_342,John Fitzgerald Kennedy,0.2690954499660446,0.3023317280856454
343,4,Speech_343,John Fitzgerald Kennedy,-0.17141633530114514,0.09379872062954671
344,7,Speech_344,John Fitzgerald Kennedy,-0.3230963864382564,0.21725744281842338
345,5,Speech_345,John Fitzgerald Kennedy,0.12132746581136794,0.20355889530136342
346,3,Speech_346,John Fitzgerald Kennedy,-0.011985336136259978,0.2569908711473473
347,3,Speech_347,Lyndon Baines Johnson,-0.3811821937847971,0.2079549154466072
348,1,Speech_348,John Fitzgerald Kennedy,-0.18716200977573452,0.03940840594545366
349,7,Speech_349,John Fitzgerald Kennedy,-0.07658033398772687,0.09589648487195945
350,3,Speech_350,John Fitzgerald Kennedy,0.16045931599902713,0.027194240294582478
351,3,Speech_351,John Fitzgerald Kennedy,-0.030709107340506678,0.4724363396437443
352,7,Speech_352,John Fitzgerald Kennedy,0.15402540165050416,0.424600448255399
353,7,Speech_353,John Fitzgerald Kennedy,0.0986014508462336,0.11414529834441739
354,1,Speech_354,John Fitzgerald Kennedy,-0.13810946713521197,0.12034859696703515
355,3,Speech_355,John Fitzgerald Kennedy,0.1768798319867643,0.1769088413092144
356,3,Speech_356,Lyndon Baines Johnson,0.17687983198676688,0.17690884130921714
357,3,Speech_357,Lyndon Baines Johnson,-0.3811821937847843,0.20795491544660075
358,3,Speech_358,Lyndon Baines Johnson,0.3112412559366151,0.18945069214157198
359,5,Speech_359,Lyndon Baines Johnson,0.28351111822600056,0.04083920784729937
360,2,Speech_360,Lyndon Baines Johnson,0.34019851889628944,-0.10513825133606786
361,3,Speech_361,Lyndon Baines Johnson,-0.03070910734050903,0.47243633964378146
362,2,Speech_362,Lyndon Baines Johnson,-0.0053797839431402195,-0.6254672766906946
363,2,Speech_363,Lyndon Baines Johnson,0.4370244254646132,-0.32679436141364726
364,2,Speech_364,Lyndon Baines Johnson,0.3136533845205845,-0.13995219900293202
365,1,Speech_365,Lyndon Baines Johnson,0.17687983198676532,0.17690884130921583
366,2,Speech_366,Lyndon Baines Johnson,0.2653387466944267,-0.25511482683503595
367,3,Speech_367,Lyndon Baines Johnson,-0.011985336136260518,0.2569908711473548
368,3,Speech_368,Lyndon Baines Johnson,0.059886400930319064,0.24430037141343056
369,2,Speech_369,Lyndon Baines Johnson,-0.020136071470481392,-0.28327711206039574
370,6,Speech_370,Lyndon Baines Johnson,-0.44441722962037405,-0.013687621183128575
371,6,Speech_371,Lyndon Baines Johnson,0.1401153172397197,-0.3210084415167322
372,3,Speech_372,Lyndon Baines Johnson,0.23563018075147682,0.4404083671081492
373,2,Speech_373,Lyndon Baines Johnson,-0.1588949041752673,0.5351630722248902
374,7,Speech_374,Lyndon Baines Johnson,-0.030709107340509783,0.47243633964378795
375,5,Speech_375,Ronald Wilson Reagan,-0.007206099100768651,0.11583605002627867
376,5,Speech_376,Lyndon Baines Johnson,0.1768798319867708,0.17690884130922108
377,3,Speech_377,Lyndon Baines Johnson,-0.381182193784765,0.20795491544658945
378,2,Speech_378,Lyndon Baines Johnson,0.31520762818896253,-0.4892833174858629
379,2,Speech_379,Lyndon Baines Johnson,-0.2864673745994684,0.0877728528344468
380,3,Speech_380,Lyndon Baines Johnson,0.16045931640606012,0.027194240071244623
381,2,Speech_381,Lyndon Baines Johnson,-0.08026904047268002,-0.2859917096115276
382,3,Speech_382,Lyndon Baines Johnson,-0.19585934258894877,0.41350892681908963
383,6,Speech_383,Lyndon Baines Johnson,-0.03070910734050879,0.4724363396437783
384,2,Speech_384,Lyndon Baines Johnson,0.2873761817805131,-0.16597455274687498
385,1,Speech_385,Lyndon Baines Johnson,-0.07693370522267298,0.6033077382291407
386,1,Speech_386,Lyndon Baines Johnson,-0.15503550571752564,0.27288983808162187
387,6,Speech_387,Lyndon Baines Johnson,0.2690954499660614,0.3023317280856654
388,2,Speech_388,Lyndon Baines Johnson,-0.2122935138023992,-0.10691254144019235
389,3,Speech_389,Lyndon Baines Johnson,0.24153170289488574,-0.008423128936666153
390,3,Speech_390,Lyndon Baines Johnson,-0.3811821937847811,0.2079549154465977
391,1,Speech_391,Lyndon Baines Johnson,-0.20775491666442802,0.26538986741682735
392,6,Speech_392,Lyndon Baines Johnson,-0.12400963449631203,0.24554465904998177
393,3,Speech_393,Lyndon Baines Johnson,0.4370505718637755,0.10418780515685418
394,2,Speech_394,Lyndon Baines Johnson,0.24153170289487455,-0.008423128936665601
395,6,Speech_395,Lyndon Baines Johnson,0.1334579743894127,0.10737822009785378
396,6,Speech_396,Lyndon Baines Johnson,-0.3230963854362597,0.217257447069492
397,6,Speech_397,Lyndon Baines Johnson,0.006957415187952725,0.2831367873963574
398,1,Speech_398,Lyndon Baines Johnson,-0.15503550571752753,0.272889838081625
399,6,Speech_399,Lyndon Baines Johnson,-0.030709107340509318,0.4724363396437755
400,2,Speech_400,Lyndon Baines Johnson,0.26533874669443464,-0.2551148268350435
401,6,Speech_401,Lyndon Baines Johnson,-0.03070910734051075,0.47243633964379145
402,2,Speech_402,Lyndon Baines Johnson,-0.040771290273091364,-0.424976893481012
403,2,Speech_403,Lyndon Baines Johnson,0.33049061217662723,-0.23063693788442768
404,3,Speech_404,Lyndon Baines Johnson,0.13292391619486618,0.05037030568698736
405,6,Speech_405,Lyndon Baines Johnson,-0.030709107340508343,0.4724363396437653
406,2,Speech_406,Lyndon Baines Johnson,0.43702442546460457,-0.32679436141363777
407,5,Speech_407,Lyndon Baines Johnson,0.29097620944071223,-0.10090664799595281
408,2,Speech_408,Lyndon Baines Johnson,0.11690866883161015,-0.4956320519793302
409,2,Speech_409,Lyndon Baines Johnson,0.49069366127318675,-0.29274467783844804
410,6,Speech_410,Lyndon Baines Johnson,-0.15503550571752303,0.2728898380816177
411,2,Speech_411,Lyndon Baines Johnson,0.037560227271993644,-0.5280228727528266
412,3,Speech_412,Lyndon Baines Johnson,0.26028897060379647,0.3441939743811099
413,2,Speech_413,Lyndon Baines Johnson,0.6073288528567573,-0.17517407026311277
414,6,Speech_414,Lyndon Baines Johnson,-0.030709107340508544,0.472436339643777
415,2,Speech_415,Lyndon Baines Johnson,0.3816431815289693,0.2901972652744823
416,2,Speech_416,Lyndon Baines Johnson,0.20527309331572247,0.4893874168886776
417,5,Speech_417,Lyndon Baines Johnson,0.05529593406385272,-0.01897691648466288
418,6,Speech_418,Lyndon Baines Johnson,-0.017966083996676898,0.19139397011796125
419,3,Speech_419,Lyndon Baines Johnson,-0.38118219378478074,0.20795491544659864
420,6,Speech_420,Lyndon Baines Johnson,-0.8459763357627336,0.39287386863322693
